,0
y0,1.9975765580267804
y1,0.025765196173181827
y2,2.4347144348468444
y3,-0.5351917394924305
y4,0.2065788482649972
y5,-1.079297821493074
y6,1.6918174247279634
y7,2.63853055970366
y8,1.1775848368479342
y9,1.498289235269012
y10,0.5540726219510541
y11,0.6806180842249444
y12,-0.5785013560077555
y13,1.7361248708855812
y14,2.5012403527156892
y15,1.03724348826806
y16,-1.4911884157027588
y17,-0.15924423750784836
y18,0.8177808144384646
y19,0.7586780646633333
y20,-1.0961262561953273
y21,-0.21803335719605887
y22,1.4073595032730868
y23,-1.3191480252639247
y24,3.4336520499032774
y25,1.0651590284129904
y26,1.089141138339222
y27,4.08631624240553
y28,-3.525126739333352
y29,2.44558660019976
