sample,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,-0.8287016657127513,-0.5263789868078006,0.6025489304127938,0.16432407212873557,-0.8117427155192016,-0.1337461195270524,-0.04189740371833195,-0.6805221707258429,0.46915430281842907,-0.7726559601571932
1,-0.21754361900867591,0.03348036524272735,-0.1387439591716444,0.17359714287628147,0.4756755745843204,0.9125345096721971,-0.4315976725024171,0.2970944141596501,0.39243199334031087,-0.41455850197502575
2,-0.9970198329823277,0.9469205495328255,-0.4031975539662487,-0.3720279959313264,0.7834221408903144,0.17032587978181613,-0.057380669636337256,0.5465540192976328,-0.9393079846750576,0.413930191311247
3,-0.2515123330430584,-0.8182945729914843,0.3210001348557896,0.862927709482709,-0.5856176638379975,0.26018039957068595,-0.4036738186851505,0.48351336013866075,0.44432961628423495,-0.5625691508623909
4,0.6597737485486246,0.31530442174648643,0.3655978157207005,0.64015150034107,-0.1428541914030761,0.517410922309838,0.7569603693325078,-0.7953601561558512,0.6995366749323075,-0.2121453347353297
5,-0.040632152975450087,-0.707330860483603,0.3968526898941871,-0.41604276802429796,0.7422782995871782,-0.4492512461038458,0.12361943746177984,-0.20068755773909452,0.2258189838048783,-0.6067215204557526
6,-0.6394249183138097,0.49372077129967584,0.5044468367385548,0.1339557489058245,0.8421593545658599,-0.5884499035419624,0.7018022491833029,-0.6620253773458276,0.9287154417885592,0.24738545621230346
7,0.2137675760200295,0.9411175262652476,0.5740654275775421,0.5798349521771087,-0.8918124842580695,-0.26142738781116015,-0.8302104556690639,-0.6129448370689712,-0.5722660186157056,0.7172838643318087
8,-0.7464900405633892,-0.4064844632211011,-0.014306042151334797,0.6989208223790737,0.9304628416747509,0.4162895413744834,-0.5726255611389037,0.0899653629160082,0.4119180859737739,-0.8962349445467497
9,0.3597683344481428,-0.26343632972183784,0.17940057355841654,0.3390665622833302,0.3382549922918716,0.04609955105171282,0.10947486493017844,-0.6037005727729341,-0.009625216929195712,-0.7491810547094937
10,-0.03850599614787109,0.07248985113962303,0.5482096326206369,-0.21267041401162823,-0.9607991628967809,0.05549986642700655,-0.5895350150998242,0.48251504638873755,-0.22260553916652648,-0.23905367173439518
11,0.818909159538594,-0.21405911208958206,-0.30229684569688664,-0.3039605292834877,-0.03846885939483613,-0.8134157824971724,0.09349481589142927,0.8428549240675633,0.12584412975947346,0.4878204147010943
12,0.8942813263313545,0.6842307741978282,0.48801268722496216,0.6263274783891217,0.6402780832539134,-0.49248961047593354,-0.03607390562323487,-0.31456649868296993,-0.4765334127426917,0.1431031662452611
13,-0.36422815431815314,0.23731309154530456,0.1648330605435142,-0.7912020512360574,-0.1151646968818325,-0.22029025203956065,0.41330482220076914,-0.8237343123792285,-0.6620836550800056,0.025194911910982443
14,-0.19081254230436895,0.33069336036343877,-0.3342866244882994,-0.6055624633100081,0.8636908465283903,-0.5122070133539303,-0.7058713851335308,-0.4402116913635734,-0.3205512453029373,-0.5497680146812769
15,0.07263290212782803,0.8738676913353984,-0.7479622969697788,-0.16967077423329302,0.33631488206794047,0.7694299649708176,0.9996060565703964,-0.7127261073046289,0.07459544885463232,0.7624010574509836
